,count,hate_speech,offensive_language,neither,class,tweet
0,3,3,0,0,0,i hate you
1,6,2,4,0,1,she is bad
2,6,6,0,0,0,i hate people of that religion
3,6,2,4,0,1,people with disabilities are a burden to society 
4,3,0,3,0,1,women are not as capable as men in leadership roles
5,3,0,3,0,1,you are bad
6,6,6,0,0,0,i will kill you
7,3,0,3,0,1,why are you so lazy and useless 
8,6,0,6,0,1,he is a bad guy
9,6,0,0,6,2,i enjoyed movie last night
10,3,0,0,3,2,i like reading books on history
11,3,0,0,3,2,i am so excited for the weekend
12,3,0,0,3,2,you are very beautiful
13,3,0,0,3,2,she is very pretty
14,6,0,0,6,2,you inspired many people
15,3,3,0,0,0,she has the worst behavoir
16,6,0,0,6,2,you are the favourite teacher
17,3,3,0,0,0,I hate eating bananas
18,6,2,4,0,1,she is very bad at maths
19,3,3,0,0,0,I don?t want to see him
20,6,0,0,6,2,she got  best award
